,Country_Region,Date,Cases,Cases_per_Million,case_delta_days,case_percentage_x_days_increase
10,Gabon,1/1/21,9571,4405.363395301161,185,0.019639065817409766
11,Gabon,1/2/21,9571,4405.363395301161,185,0.019639065817409766
12,Gabon,1/3/21,9571,4405.363395301161,185,0.019639065817409766
13,Gabon,1/4/21,9605,4421.012998836866,185,0.019639065817409766
0,Gambia,12/22/20,3791,1614.767777566697,9,0.002374043787918755
1,Gambia,12/23/20,3791,1614.767777566697,9,0.002374043787918755
2,Gambia,12/24/20,3791,1614.767777566697,9,0.002374043787918755
3,Gambia,12/25/20,3791,1614.767777566697,9,0.002374043787918755
4,Gambia,12/26/20,3791,1614.767777566697,9,0.002374043787918755
5,Gambia,12/27/20,3793,1615.6196729914222,9,0.002374043787918755
6,Gambia,12/28/20,3793,1615.6196729914222,9,0.002374043787918755
7,Gambia,12/29/20,3797,1617.3234638408726,9,0.002374043787918755
8,Gambia,12/30/20,3797,1617.3234638408726,9,0.002374043787918755
9,Gambia,12/31/20,3797,1617.3234638408726,9,0.002374043787918755
10,Gambia,1/1/21,3800,1618.6013069779606,9,0.002374043787918755
11,Gambia,1/2/21,3800,1618.6013069779606,9,0.002374043787918755
12,Gambia,1/3/21,3800,1618.6013069779606,9,0.002374043787918755
13,Gambia,1/4/21,3800,1618.6013069779606,9,0.002374043787918755
0,Georgia,12/22/20,212526,57124.77912214391,17237,0.08110537063700442
1,Georgia,12/23/20,214871,57755.090740682004,17237,0.08110537063700442
2,Georgia,12/24/20,216843,58285.14383738014,17237,0.08110537063700442
3,Georgia,12/25/20,218724,58790.73708022456,17237,0.08110537063700442
4,Georgia,12/26/20,220508,59270.25773159853,17237,0.08110537063700442
5,Georgia,12/27/20,221605,59565.11992585708,17237,0.08110537063700442
6,Georgia,12/28/20,222143,59709.72873215708,17237,0.08110537063700442
7,Georgia,12/29/20,224155,60250.53341296673,17237,0.08110537063700442
8,Georgia,12/30/20,225893,60717.689742612456,17237,0.08110537063700442
9,Georgia,12/31/20,227420,61128.131466069884,17237,0.08110537063700442
10,Georgia,1/1/21,228410,61394.23317283011,17237,0.08110537063700442
11,Georgia,1/2/21,228752,61486.15921698364,17237,0.08110537063700442
12,Georgia,1/3/21,229169,61598.24448134627,17237,0.08110537063700442
13,Georgia,1/4/21,229763,61757.90550540241,17237,0.08110537063700442
0,Germany,12/22/20,1570371,18889.908903464202,225845,0.14381633384722464
1,Germany,12/23/20,1604129,19295.98208283592,225845,0.14381633384722464
2,Germany,12/24/20,1630596,19614.352212536473,225845,0.14381633384722464
3,Germany,12/25/20,1632736,19640.094158263575,225845,0.14381633384722464
4,Germany,12/26/20,1646240,19802.533053169544,225845,0.14381633384722464
5,Germany,12/27/20,1658639,19951.67996208091,225845,0.14381633384722464
6,Germany,12/28/20,1672643,20120.1333302876,225845,0.14381633384722464
7,Germany,12/29/20,1692109,20354.28880483141,225845,0.14381633384722464
8,Germany,12/30/20,1741153,20944.236461952878,225845,0.14381633384722464
9,Germany,12/31/20,1760520,21177.201070783143,225845,0.14381633384722464
10,Germany,1/1/21,1762637,21202.66635073841,225845,0.14381633384722464
11,Germany,1/2/21,1773540,21333.81795553401,225845,0.14381633384722464
