,Country_Region,Date,Cases,Cases_per_Million,case_delta_days,case_percentage_x_days_increase
4,Bhutan,12/26/20,597,782.3434133761067,255,0.5323590814196242
5,Bhutan,12/27/20,623,816.4153208263224,255,0.5323590814196242
6,Bhutan,12/28/20,623,816.4153208263224,255,0.5323590814196242
7,Bhutan,12/29/20,636,833.4512745514303,255,0.5323590814196242
8,Bhutan,12/30/20,655,858.3499761496648,255,0.5323590814196242
9,Bhutan,12/31/20,670,878.0068458324815,255,0.5323590814196242
10,Bhutan,1/1/21,689,902.9055474307161,255,0.5323590814196242
11,Bhutan,1/2/21,710,930.4251649866595,255,0.5323590814196242
12,Bhutan,1/3/21,716,938.2879128597863,255,0.5323590814196242
13,Bhutan,1/4/21,734,961.8761564791663,255,0.5323590814196242
0,Bolivia,12/22/20,151059,13120.61912082758,12612,0.08349055666991043
1,Bolivia,12/23/20,152064,13207.9109883524,12612,0.08349055666991043
2,Bolivia,12/24/20,153121,13299.719450017807,12612,0.08349055666991043
3,Bolivia,12/25/20,153590,13340.455654862722,12612,0.08349055666991043
4,Bolivia,12/26/20,154349,13406.380557799377,12612,0.08349055666991043
5,Bolivia,12/27/20,154843,13449.28820213496,12612,0.08349055666991043
6,Bolivia,12/28/20,155594,13514.518244434601,12612,0.08349055666991043
7,Bolivia,12/29/20,156887,13626.825094891907,12612,0.08349055666991043
8,Bolivia,12/30/20,158372,13755.808600637534,12612,0.08349055666991043
9,Bolivia,12/31/20,160124,13907.98308014349,12612,0.08349055666991043
10,Bolivia,1/1/21,160985,13982.767456202066,12612,0.08349055666991043
11,Bolivia,1/2/21,162055,14075.70506640262,12612,0.08349055666991043
12,Bolivia,1/3/21,162661,14128.340759656392,12612,0.08349055666991043
13,Bolivia,1/4/21,163671,14216.066915079346,12612,0.08349055666991043
0,Bosnia and Herzegovina,12/22/20,106986,32410.178733717054,5659,0.052894771278485034
1,Bosnia and Herzegovina,12/23/20,107570,32587.09481975159,5659,0.052894771278485034
2,Bosnia and Herzegovina,12/24/20,108298,32807.63405028779,5659,0.052894771278485034
3,Bosnia and Herzegovina,12/25/20,108891,32987.27658285368,5659,0.052894771278485034
4,Bosnia and Herzegovina,12/26/20,109330,33120.266585883066,5659,0.052894771278485034
5,Bosnia and Herzegovina,12/27/20,109691,33229.62738564071,5659,0.052894771278485034
6,Bosnia and Herzegovina,12/28/20,109911,33296.27385640715,5659,0.052894771278485034
7,Bosnia and Herzegovina,12/29/20,110454,33460.769463798846,5659,0.052894771278485034
8,Bosnia and Herzegovina,12/30/20,110985,33621.62980914874,5659,0.052894771278485034
9,Bosnia and Herzegovina,12/31/20,110985,33621.62980914874,5659,0.052894771278485034
10,Bosnia and Herzegovina,1/1/21,112143,33972.432596182975,5659,0.052894771278485034
11,Bosnia and Herzegovina,1/2/21,112143,33972.432596182975,5659,0.052894771278485034
12,Bosnia and Herzegovina,1/3/21,112645,34124.507724931835,5659,0.052894771278485034
13,Bosnia and Herzegovina,1/4/21,112645,34124.507724931835,5659,0.052894771278485034
0,Botswana,12/22/20,13622,5913.104023662834,1746,0.1281750110115989
1,Botswana,12/23/20,13622,5913.104023662834,1746,0.1281750110115989
2,Botswana,12/24/20,14025,6088.04022403988,1746,0.1281750110115989
3,Botswana,12/25/20,14025,6088.04022403988,1746,0.1281750110115989
4,Botswana,12/26/20,14025,6088.04022403988,1746,0.1281750110115989
5,Botswana,12/27/20,14025,6088.04022403988,1746,0.1281750110115989
6,Botswana,12/28/20,14025,6088.04022403988,1746,0.1281750110115989
7,Botswana,12/29/20,14025,6088.04022403988,1746,0.1281750110115989
8,Botswana,12/30/20,14700,6381.047507549821,1746,0.1281750110115989
9,Botswana,12/31/20,14805,6426.626418318034,1746,0.1281750110115989
10,Botswana,1/1/21,14805,6426.626418318034,1746,0.1281750110115989
11,Botswana,1/2/21,14805,6426.626418318034,1746,0.1281750110115989
12,Botswana,1/3/21,14805,6426.626418318034,1746,0.1281750110115989
13,Botswana,1/4/21,15368,6671.016197008547,1746,0.1281750110115989
0,Brazil,12/22/20,7318821,34678.215601971,434931,0.0594263748218463
1,Brazil,12/23/20,7365517,34899.471724473464,434931,0.0594263748218463
2,Brazil,12/24/20,7423945,35176.31669461168,434931,0.0594263748218463
3,Brazil,12/25/20,7448560,35292.948086067016,434931,0.0594263748218463
4,Brazil,12/26/20,7465806,35374.663502562595,434931,0.0594263748218463
5,Brazil,12/27/20,7484285,35462.22114963565,434931,0.0594263748218463
6,Brazil,12/28/20,7504833,35559.58218281152,434931,0.0594263748218463
7,Brazil,12/29/20,7563551,35837.8012380004,434931,0.0594263748218463
8,Brazil,12/30/20,7619200,36101.47868277383,434931,0.0594263748218463
9,Brazil,12/31/20,7675973,36370.481891674644,434931,0.0594263748218463
10,Brazil,1/1/21,7700578,36487.06590088685,434931,0.0594263748218463
11,Brazil,1/2/21,7716405,36562.05777708282,434931,0.0594263748218463
12,Brazil,1/3/21,7733746,36644.223324888095,434931,0.0594263748218463
13,Brazil,1/4/21,7753752,36739.016240486526,434931,0.0594263748218463
0,Brunei,12/22/20,152,350.8083593939324,20,0.13157894736842105
1,Brunei,12/23/20,152,350.8083593939324,20,0.13157894736842105
2,Brunei,12/24/20,152,350.8083593939324,20,0.13157894736842105
3,Brunei,12/25/20,152,350.8083593939324,20,0.13157894736842105
4,Brunei,12/26/20,152,350.8083593939324,20,0.13157894736842105
5,Brunei,12/27/20,152,350.8083593939324,20,0.13157894736842105
6,Brunei,12/28/20,152,350.8083593939324,20,0.13157894736842105
7,Brunei,12/29/20,152,350.8083593939324,20,0.13157894736842105
8,Brunei,12/30/20,157,362.3481080582065,20,0.13157894736842105
9,Brunei,12/31/20,157,362.3481080582065,20,0.13157894736842105
10,Brunei,1/1/21,157,362.3481080582065,20,0.13157894736842105
11,Brunei,1/2/21,157,362.3481080582065,20,0.13157894736842105
12,Brunei,1/3/21,172,396.9673540510288,20,0.13157894736842105
13,Brunei,1/4/21,172,396.9673540510288,20,0.13157894736842105
0,Bulgaria,12/22/20,194271,27849.434635160233,9809,0.05049132397527166
1,Bulgaria,12/23/20,195886,28080.950594494276,9809,0.05049132397527166
2,Bulgaria,12/24/20,196658,28191.619523662004,9809,0.05049132397527166
3,Bulgaria,12/25/20,196915,28228.461382206184,9809,0.05049132397527166
4,Bulgaria,12/26/20,197384,28295.694190210932,9809,0.05049132397527166
5,Bulgaria,12/27/20,197716,28343.28756389446,9809,0.05049132397527166
6,Bulgaria,12/28/20,198053,28391.59770525395,9809,0.05049132397527166
7,Bulgaria,12/29/20,199491,28597.740088859122,9809,0.05049132397527166
8,Bulgaria,12/30/20,201220,28845.59835120498,9809,0.05049132397527166
9,Bulgaria,12/31/20,202266,28995.54614901514,9809,0.05049132397527166
10,Bulgaria,1/1/21,202540,29034.82501765757,9809,0.05049132397527166
11,Bulgaria,1/2/21,202880,29083.565219622633,9809,0.05049132397527166
12,Bulgaria,1/3/21,203051,29108.078674140354,9809,0.05049132397527166
13,Bulgaria,1/4/21,204080,29255.58946185226,9809,0.05049132397527166
0,Burkina Faso,12/22/20,5461,268.7317759651929,1665,0.30488921442959166
1,Burkina Faso,12/23/20,5649,277.98311708979577,1665,0.30488921442959166
2,Burkina Faso,12/24/20,5941,292.3522213897109,1665,0.30488921442959166
3,Burkina Faso,12/25/20,6134,301.8496088208191,1665,0.30488921442959166
4,Burkina Faso,12/26/20,6255,307.8039294382497,1665,0.30488921442959166
5,Burkina Faso,12/27/20,6344,312.18355369404577,1665,0.30488921442959166
6,Burkina Faso,12/28/20,6344,312.18355369404577,1665,0.30488921442959166
7,Burkina Faso,12/29/20,6537,321.68094112515405,1665,0.30488921442959166
8,Burkina Faso,12/30/20,6631,326.3066116874555,1665,0.30488921442959166
9,Burkina Faso,12/31/20,6707,330.04651554633745,1665,0.30488921442959166
10,Burkina Faso,1/1/21,6828,336.00083616376804,1665,0.30488921442959166
11,Burkina Faso,1/2/21,6940,341.5122734294889,1665,0.30488921442959166
12,Burkina Faso,1/3/21,7051,346.9745014339087,1665,0.30488921442959166
13,Burkina Faso,1/4/21,7126,350.6651960314896,1665,0.30488921442959166
0,Burma,12/22/20,117946,2182.3495866994836,8989,0.07621284316551642
1,Burma,12/23/20,118869,2199.427814604827,8989,0.07621284316551642
2,Burma,12/24/20,119788,2216.432030688262,8989,0.07621284316551642
3,Burma,12/25/20,120546,2230.457270939887,8989,0.07621284316551642
4,Burma,12/26/20,121280,2244.0384402600625,8989,0.07621284316551642
5,Burma,12/27/20,121886,2255.2512312791723,8989,0.07621284316551642
6,Burma,12/28/20,122534,2267.241146428319,8989,0.07621284316551642
7,Burma,12/29/20,123153,2278.6944758686304,8989,0.07621284316551642
8,Burma,12/30/20,123740,2289.5557107336754,8989,0.07621284316551642
9,Burma,12/31/20,124630,2306.0233411082754,8989,0.07621284316551642
10,Burma,1/1/21,125042,2313.6465587648313,8989,0.07621284316551642
11,Burma,1/2/21,125616,2324.2672552086747,8989,0.07621284316551642
12,Burma,1/3/21,126345,2337.7559097514645,8989,0.07621284316551642
13,Burma,1/4/21,126935,2348.672653482941,8989,0.07621284316551642
0,Burundi,12/22/20,762,66.08514055667625,80,0.10498687664041995
1,Burundi,12/23/20,773,67.03912552534217,80,0.10498687664041995
2,Burundi,12/24/20,773,67.03912552534217,80,0.10498687664041995
3,Burundi,12/25/20,786,68.16656230649282,80,0.10498687664041995
4,Burundi,12/26/20,786,68.16656230649282,80,0.10498687664041995
5,Burundi,12/27/20,804,69.72762861885525,80,0.10498687664041995
6,Burundi,12/28/20,804,69.72762861885525,80,0.10498687664041995
7,Burundi,12/29/20,809,70.16125815006704,80,0.10498687664041995
8,Burundi,12/30/20,809,70.16125815006704,80,0.10498687664041995
9,Burundi,12/31/20,818,70.94179130624825,80,0.10498687664041995
10,Burundi,1/1/21,822,71.28869493121768,80,0.10498687664041995
11,Burundi,1/2/21,822,71.28869493121768,80,0.10498687664041995
12,Burundi,1/3/21,833,72.24267989988361,80,0.10498687664041995
13,Burundi,1/4/21,842,73.02321305606483,80,0.10498687664041995
0,Cabo Verde,12/22/20,11636,,313,0.0268992781024407
1,Cabo Verde,12/23/20,11668,,313,0.0268992781024407
2,Cabo Verde,12/24/20,11688,,313,0.0268992781024407
3,Cabo Verde,12/25/20,11696,,313,0.0268992781024407
4,Cabo Verde,12/26/20,11698,,313,0.0268992781024407
5,Cabo Verde,12/27/20,11714,,313,0.0268992781024407
6,Cabo Verde,12/28/20,11723,,313,0.0268992781024407
7,Cabo Verde,12/29/20,11752,,313,0.0268992781024407
8,Cabo Verde,12/30/20,11793,,313,0.0268992781024407
9,Cabo Verde,12/31/20,11840,,313,0.0268992781024407
10,Cabo Verde,1/1/21,11872,,313,0.0268992781024407
11,Cabo Verde,1/2/21,11883,,313,0.0268992781024407
12,Cabo Verde,1/3/21,11920,,313,0.0268992781024407
13,Cabo Verde,1/4/21,11949,,313,0.0268992781024407
0,Cambodia,12/22/20,363,22.01795864772613,19,0.05234159779614325
1,Cambodia,12/23/20,363,22.01795864772613,19,0.05234159779614325
2,Cambodia,12/24/20,363,22.01795864772613,19,0.05234159779614325
3,Cambodia,12/25/20,363,22.01795864772613,19,0.05234159779614325
4,Cambodia,12/26/20,364,22.078614181190936,19,0.05234159779614325
5,Cambodia,12/27/20,364,22.078614181190936,19,0.05234159779614325
6,Cambodia,12/28/20,364,22.078614181190936,19,0.05234159779614325
7,Cambodia,12/29/20,364,22.078614181190936,19,0.05234159779614325
8,Cambodia,12/30/20,366,22.199925248120557,19,0.05234159779614325
9,Cambodia,12/31/20,378,22.927791649698282,19,0.05234159779614325
10,Cambodia,1/1/21,379,22.988447183163093,19,0.05234159779614325
11,Cambodia,1/2/21,381,23.10975825009271,19,0.05234159779614325
12,Cambodia,1/3/21,382,23.17041378355752,19,0.05234159779614325
13,Cambodia,1/4/21,382,23.17041378355752,19,0.05234159779614325
0,Cameroon,12/22/20,25849,998.9418921812093,999,0.038647529885101936
1,Cameroon,12/23/20,25849,998.9418921812093,999,0.038647529885101936
2,Cameroon,12/24/20,26277,1015.4820728401731,999,0.038647529885101936
3,Cameroon,12/25/20,26277,1015.4820728401731,999,0.038647529885101936
4,Cameroon,12/26/20,26277,1015.4820728401731,999,0.038647529885101936
5,Cameroon,12/27/20,26277,1015.4820728401731,999,0.038647529885101936
6,Cameroon,12/28/20,26277,1015.4820728401731,999,0.038647529885101936
7,Cameroon,12/29/20,26277,1015.4820728401731,999,0.038647529885101936
8,Cameroon,12/30/20,26277,1015.4820728401731,999,0.038647529885101936
9,Cameroon,12/31/20,26277,1015.4820728401731,999,0.038647529885101936
10,Cameroon,1/1/21,26848,1037.5485288127627,999,0.038647529885101936
11,Cameroon,1/2/21,26848,1037.5485288127627,999,0.038647529885101936
12,Cameroon,1/3/21,26848,1037.5485288127627,999,0.038647529885101936
13,Cameroon,1/4/21,26848,1037.5485288127627,999,0.038647529885101936
12/22/20,Canada,12/22/20,525585,13982.317609747168,90549,0.17228231399297925
12/23/20,Canada,12/23/20,532506,14166.439341107576,90549,0.17228231399297925
12/24/20,Canada,12/24/20,539190,14344.256080366782,90549,0.17228231399297925
12/25/20,Canada,12/25/20,540939,14390.78532587312,90549,0.17228231399297925
12/26/20,Canada,12/26/20,544053,14473.628133481312,90549,0.17228231399297925
12/27/20,Canada,12/27/20,554153,14742.321889692861,90549,0.17228231399297925
12/28/20,Canada,12/28/20,560618,14914.31249701045,90549,0.17228231399297925
12/29/20,Canada,12/29/20,568807,15132.167266279397,90549,0.17228231399297925
12/30/20,Canada,12/30/20,577266,15357.204937942119,90549,0.17228231399297925
12/31/20,Canada,12/31/20,584409,15547.232611270741,90549,0.17228231399297925
1/1/21,Canada,1/1/21,585400,15573.596523390112,90549,0.17228231399297925
1/2/21,Canada,1/2/21,589935,15694.242680263316,90549,0.17228231399297925
1/3/21,Canada,1/3/21,606076,16123.647226700008,90549,0.17228231399297925
1/4/21,Canada,1/4/21,616134,16391.223642539193,90549,0.17228231399297925
0,Central African Republic,12/22/20,4936,1040.2123415630792,27,0.00547001620745543
1,Central African Republic,12/23/20,4948,1042.7412208375438,27,0.00547001620745543
2,Central African Republic,12/24/20,4948,1042.7412208375438,27,0.00547001620745543
3,Central African Republic,12/25/20,4948,1042.7412208375438,27,0.00547001620745543
4,Central African Republic,12/26/20,4948,1042.7412208375438,27,0.00547001620745543
5,Central African Republic,12/27/20,4948,1042.7412208375438,27,0.00547001620745543
6,Central African Republic,12/28/20,4948,1042.7412208375438,27,0.00547001620745543
7,Central African Republic,12/29/20,4961,1045.480840051547,27,0.00547001620745543
8,Central African Republic,12/30/20,4963,1045.9023199306243,27,0.00547001620745543
9,Central African Republic,12/31/20,4963,1045.9023199306243,27,0.00547001620745543
10,Central African Republic,1/1/21,4963,1045.9023199306243,27,0.00547001620745543
11,Central African Republic,1/2/21,4963,1045.9023199306243,27,0.00547001620745543
12,Central African Republic,1/3/21,4963,1045.9023199306243,27,0.00547001620745543
13,Central African Republic,1/4/21,4963,1045.9023199306243,27,0.00547001620745543
0,Chad,12/22/20,1916,120.14892446645976,313,0.16336116910229645
1,Chad,12/23/20,1938,121.52850501878864,313,0.16336116910229645
2,Chad,12/24/20,1958,122.78266915726942,313,0.16336116910229645
3,Chad,12/25/20,1971,123.59787584728194,313,0.16336116910229645
4,Chad,12/26/20,1986,124.53849895114253,313,0.16336116910229645
5,Chad,12/27/20,2005,125.72995488269929,313,0.16336116910229645
6,Chad,12/28/20,2015,126.35703695193968,313,0.16336116910229645
7,Chad,12/29/20,2048,128.42640778043298,313,0.16336116910229645
8,Chad,12/30/20,2077,130.24494578123014,313,0.16336116910229645
9,Chad,12/31/20,2113,132.50244123049555,313,0.16336116910229645
10,Chad,1/1/21,2141,134.25827102436867,313,0.16336116910229645
11,Chad,1/2/21,2169,136.01410081824176,313,0.16336116910229645
12,Chad,1/3/21,2213,138.7732619228995,313,0.16336116910229645
13,Chad,1/4/21,2229,139.77659323368414,313,0.16336116910229645
0,Chile,12/22/20,589189,31088.424368925385,31452,0.053381852003346976
1,Chile,12/23/20,590914,31179.443603901593,31452,0.053381852003346976
2,Chile,12/24/20,594152,31350.295941787364,31452,0.053381852003346976
3,Chile,12/25/20,595831,31438.887997164205,31452,0.053381852003346976
4,Chile,12/26/20,598394,31574.124112667985,31452,0.053381852003346976
5,Chile,12/27/20,600105,31664.404640809604,31452,0.053381852003346976
6,Chile,12/28/20,602028,31765.87130101786,31452,0.053381852003346976
7,Chile,12/29/20,603986,31869.184728312594,31452,0.053381852003346976
8,Chile,12/30/20,606950,32025.57951814997,31452,0.053381852003346976
9,Chile,12/31/20,608973,32132.322655748154,31452,0.053381852003346976
10,Chile,1/1/21,612564,32321.800958820364,31452,0.053381852003346976
11,Chile,1/2/21,615902,32497.92977409606,31452,0.053381852003346976
12,Chile,1/3/21,618191,32618.708341551443,31452,0.053381852003346976
13,Chile,1/4/21,620641,32747.98203760461,31452,0.053381852003346976
12/22/20,China,12/22/20,95228,68.13119985118568,1018,0.010690133154114337
12/23/20,China,12/23/20,95298,68.18128159174081,1018,0.010690133154114337
12/24/20,China,12/24/20,95383,68.24209513384345,1018,0.010690133154114337
12/25/20,China,12/25/20,95460,68.29718504845408,1018,0.010690133154114337
12/26/20,China,12/26/20,95541,68.35513677681072,1018,0.010690133154114337
12/27/20,China,12/27/20,95632,68.42024303953238,1018,0.010690133154114337
12/28/20,China,12/28/20,95720,68.48320294194454,1018,0.010690133154114337
12/29/20,China,12/29/20,95797,68.53829285655517,1018,0.010690133154114337
12/30/20,China,12/30/20,95876,68.5948136780388,1018,0.010690133154114337
12/31/20,China,12/31/20,95963,68.65705812701445,1018,0.010690133154114337
1/1/21,China,1/1/21,96023,68.69998533320455,1018,0.010690133154114337
1/2/21,China,1/2/21,96086,68.74505889970416,1018,0.010690133154114337
1/3/21,China,1/3/21,96160,68.79800245400529,1018,0.010690133154114337
1/4/21,China,1/4/21,96246,68.85953144954443,1018,0.010690133154114337
0,Colombia,12/22/20,1530593,30405.441712972468,155538,0.10161943769506329
1,Colombia,12/23/20,1544826,30688.182227205016,155538,0.10161943769506329
2,Colombia,12/24/20,1559766,30984.96739425583,155538,0.10161943769506329
3,Colombia,12/25/20,1574707,31281.772426445004,155538,0.10161943769506329
4,Colombia,12/26/20,1584903,31484.317377131087,155538,0.10161943769506329
5,Colombia,12/27/20,1594497,31674.90351452637,155538,0.10161943769506329
6,Colombia,12/28/20,1603807,31859.84795262832,155538,0.10161943769506329
7,Colombia,12/29/20,1614822,32078.662451628636,155538,0.10161943769506329
8,Colombia,12/30/20,1626461,32309.872796963606,155538,0.10161943769506329
9,Colombia,12/31/20,1642775,32633.95266411668,155538,0.10161943769506329
10,Colombia,1/1/21,1654880,32874.420163925926,155538,0.10161943769506329
11,Colombia,1/2/21,1666408,33103.42547890329,155538,0.10161943769506329
12,Colombia,1/3/21,1675820,33290.396161117635,155538,0.10161943769506329
13,Colombia,1/4/21,1686131,33495.22560271475,155538,0.10161943769506329
0,Comoros,12/22/20,693,814.44517832001,171,0.24675324675324675
1,Comoros,12/23/20,693,814.44517832001,171,0.24675324675324675
2,Comoros,12/24/20,715,840.3005808063594,171,0.24675324675324675
3,Comoros,12/25/20,715,840.3005808063594,171,0.24675324675324675
4,Comoros,12/26/20,715,840.3005808063594,171,0.24675324675324675
5,Comoros,12/27/20,715,840.3005808063594,171,0.24675324675324675
6,Comoros,12/28/20,715,840.3005808063594,171,0.24675324675324675
7,Comoros,12/29/20,765,899.0628591844265,171,0.24675324675324675
8,Comoros,12/30/20,765,899.0628591844265,171,0.24675324675324675
9,Comoros,12/31/20,823,967.2271021029844,171,0.24675324675324675
10,Comoros,1/1/21,823,967.2271021029844,171,0.24675324675324675
11,Comoros,1/2/21,864,1015.4121703729994,171,0.24675324675324675
12,Comoros,1/3/21,864,1015.4121703729994,171,0.24675324675324675
13,Comoros,1/4/21,864,1015.4121703729994,171,0.24675324675324675
0,Congo (Brazzaville),12/22/20,6571,1221.2601486699768,536,0.08157053720894841
1,Congo (Brazzaville),12/23/20,6571,1221.2601486699768,536,0.08157053720894841
2,Congo (Brazzaville),12/24/20,6571,1221.2601486699768,536,0.08157053720894841
3,Congo (Brazzaville),12/25/20,6571,1221.2601486699768,536,0.08157053720894841
4,Congo (Brazzaville),12/26/20,6908,1283.893639782712,536,0.08157053720894841
5,Congo (Brazzaville),12/27/20,6908,1283.893639782712,536,0.08157053720894841
6,Congo (Brazzaville),12/28/20,6908,1283.893639782712,536,0.08157053720894841
7,Congo (Brazzaville),12/29/20,6908,1283.893639782712,536,0.08157053720894841
8,Congo (Brazzaville),12/30/20,6908,1283.893639782712,536,0.08157053720894841
9,Congo (Brazzaville),12/31/20,7107,1320.8789950688672,536,0.08157053720894841
10,Congo (Brazzaville),1/1/21,7107,1320.8789950688672,536,0.08157053720894841
11,Congo (Brazzaville),1/2/21,7107,1320.8789950688672,536,0.08157053720894841
12,Congo (Brazzaville),1/3/21,7107,1320.8789950688672,536,0.08157053720894841
13,Congo (Brazzaville),1/4/21,7107,1320.8789950688672,536,0.08157053720894841
0,Congo (Kinshasa),12/22/20,15810,182.1626536902334,2343,0.14819734345351043
1,Congo (Kinshasa),12/23/20,16039,184.80118928131904,2343,0.14819734345351043
2,Congo (Kinshasa),12/24/20,16282,187.60103272513476,2343,0.14819734345351043
3,Congo (Kinshasa),12/25/20,16472,189.79021072647217,2343,0.14819734345351043
4,Congo (Kinshasa),12/26/20,16763,193.1431096653626,2343,0.14819734345351043
5,Congo (Kinshasa),12/27/20,16839,194.01878086589755,2343,0.14819734345351043
6,Congo (Kinshasa),12/28/20,16917,194.917496045394,2343,0.14819734345351043
7,Congo (Kinshasa),12/29/20,17182,197.9708232577856,2343,0.14819734345351043
8,Congo (Kinshasa),12/30/20,17376,200.2060892170459,2343,0.14819734345351043
9,Congo (Kinshasa),12/31/20,17658,203.45529025060983,2343,0.14819734345351043
10,Congo (Kinshasa),1/1/21,17849,205.655990241428,2343,0.14819734345351043
11,Congo (Kinshasa),1/2/21,17998,207.37276667405573,2343,0.14819734345351043
12,Congo (Kinshasa),1/3/21,18102,208.57105358005094,2343,0.14819734345351043
13,Congo (Kinshasa),1/4/21,18153,209.15867504356783,2343,0.14819734345351043
0,Costa Rica,12/22/20,160804,31857.762590684888,11632,0.07233650904206362
1,Costa Rica,12/23/20,161942,32083.21801361093,11632,0.07233650904206362
2,Costa Rica,12/24/20,162990,32290.8430428082,11632,0.07233650904206362
3,Costa Rica,12/25/20,162990,32290.8430428082,11632,0.07233650904206362
4,Costa Rica,12/26/20,162990,32290.8430428082,11632,0.07233650904206362
5,Costa Rica,12/27/20,162990,32290.8430428082,11632,0.07233650904206362
6,Costa Rica,12/28/20,165762,32840.01916965441,11632,0.07233650904206362
7,Costa Rica,12/29/20,166799,33045.464928507055,11632,0.07233650904206362
8,Costa Rica,12/30/20,168114,33305.98679243302,11632,0.07233650904206362
9,Costa Rica,12/31/20,169321,33545.112183884456,11632,0.07233650904206362
10,Costa Rica,1/1/21,169321,33545.112183884456,11632,0.07233650904206362
11,Costa Rica,1/2/21,169321,33545.112183884456,11632,0.07233650904206362
12,Costa Rica,1/3/21,169321,33545.112183884456,11632,0.07233650904206362
13,Costa Rica,1/4/21,172436,34162.24192238588,11632,0.07233650904206362
0,Cote d'Ivoire,12/22/20,21942,,858,0.039103089964451734
1,Cote d'Ivoire,12/23/20,21984,,858,0.039103089964451734
2,Cote d'Ivoire,12/24/20,22071,,858,0.039103089964451734
3,Cote d'Ivoire,12/25/20,22081,,858,0.039103089964451734
4,Cote d'Ivoire,12/26/20,22081,,858,0.039103089964451734
5,Cote d'Ivoire,12/27/20,22152,,858,0.039103089964451734
6,Cote d'Ivoire,12/28/20,22176,,858,0.039103089964451734
7,Cote d'Ivoire,12/29/20,22250,,858,0.039103089964451734
8,Cote d'Ivoire,12/30/20,22366,,858,0.039103089964451734
9,Cote d'Ivoire,12/31/20,22490,,858,0.039103089964451734
10,Cote d'Ivoire,1/1/21,22563,,858,0.039103089964451734
11,Cote d'Ivoire,1/2/21,22563,,858,0.039103089964451734
12,Cote d'Ivoire,1/3/21,22648,,858,0.039103089964451734
13,Cote d'Ivoire,1/4/21,22800,,858,0.039103089964451734
0,Croatia,12/22/20,197323,48512.10817455439,15996,0.08106505577150155
1,Croatia,12/23/20,200086,49191.39520590043,15996,0.08106505577150155
2,Croatia,12/24/20,202319,49740.38106945298,15996,0.08106505577150155
3,Croatia,12/25/20,203962,50144.31468961279,15996,0.08106505577150155
4,Croatia,12/26/20,204312,50230.362630608484,15996,0.08106505577150155
5,Croatia,12/27/20,204930,50382.29870928088,15996,0.08106505577150155
6,Croatia,12/28/20,205246,50459.987707437,15996,0.08106505577150155
7,Croatia,12/29/20,206596,50791.886908420405,15996,0.08106505577150155
8,Croatia,12/30/20,208446,51246.711739397666,15996,0.08106505577150155
9,Croatia,12/31/20,210837,51834.542102028274,15996,0.08106505577150155
10,Croatia,1/1/21,212007,52122.18807621389,15996,0.08106505577150155
11,Croatia,1/2/21,212262,52184.880147510754,15996,0.08106505577150155
12,Croatia,1/3/21,212958,52355.992624462204,15996,0.08106505577150155
13,Croatia,1/4/21,213319,52444.74492931776,15996,0.08106505577150155
0,Cuba,12/22/20,10384,916.2231945819304,2356,0.22688751926040063
1,Cuba,12/23/20,10500,926.4583535352725,2356,0.22688751926040063
2,Cuba,12/24/20,10717,945.6051595083347,2356,0.22688751926040063
3,Cuba,12/25/20,10900,961.752005098521,2356,0.22688751926040063
4,Cuba,12/26/20,11038,973.9283148878417,2356,0.22688751926040063
5,Cuba,12/27/20,11205,988.663414415498,2356,0.22688751926040063
6,Cuba,12/28/20,11434,1008.8690299354577,2356,0.22688751926040063
7,Cuba,12/29/20,11601,1023.604129463114,2356,0.22688751926040063
8,Cuba,12/30/20,11687,1031.1922645492123,2356,0.22688751926040063
9,Cuba,12/31/20,11863,1046.7214712370417,2356,0.22688751926040063
10,Cuba,1/1/21,12056,1063.750658116309,2356,0.22688751926040063
11,Cuba,1/2/21,12225,1078.6622259017815,2356,0.22688751926040063
12,Cuba,1/3/21,12424,1096.2208175544977,2356,0.22688751926040063
13,Cuba,1/4/21,12740,1124.1028022894639,2356,0.22688751926040063
0,Cyprus,12/22/20,18004,15021.170973864799,6635,0.3685292157298378
1,Cyprus,12/23/20,18883,15754.541851782325,6635,0.3685292157298378
2,Cyprus,12/24/20,19316,16115.804184135328,6635,0.3685292157298378
3,Cyprus,12/25/20,19366,16157.520388795028,6635,0.3685292157298378
4,Cyprus,12/26/20,19391,16178.378491124879,6635,0.3685292157298378
5,Cyprus,12/27/20,19657,16400.308699914483,6635,0.3685292157298378
6,Cyprus,12/28/20,20408,17026.886093903177,6635,0.3685292157298378
7,Cyprus,12/29/20,21315,17783.618046430136,6635,0.3685292157298378
8,Cyprus,12/30/20,22019,18370.982208038713,6635,0.3685292157298378
9,Cyprus,12/31/20,22019,18370.982208038713,6635,0.3685292157298378
10,Cyprus,1/1/21,22818,19037.60715850072,6635,0.3685292157298378
11,Cyprus,1/2/21,23445,19560.72836493336,6635,0.3685292157298378
12,Cyprus,1/3/21,23974,20002.085810232988,6635,0.3685292157298378
13,Cyprus,1/4/21,24639,20556.911332206997,6635,0.3685292157298378
0,Czechia,12/22/20,635414,59553.076845863376,111300,0.17516139084124682
1,Czechia,12/23/20,646312,60574.47302452204,111300,0.17516139084124682
2,Czechia,12/24/20,660461,61900.56354864036,111300,0.17516139084124682
3,Czechia,12/25/20,664863,62313.13337598992,111300,0.17516139084124682
4,Czechia,12/26/20,667569,62566.74854018981,111300,0.17516139084124682
5,Czechia,12/27/20,670599,62850.73004334045,111300,0.17516139084124682
