,Country_Region,Confirmed,Deaths,Recovered,Active,First_Confirmed_Case,Population,MostRecentYearHospBedInfoCollected,hosp_beds_per_1000_people,Continent,Fatality_Rate,cases_per_mil_people,deaths_per_mil_people,Recovery_Rate
75,Guatemala,2133,43,155,1935,3/14/20,17247807.0,2014,0.6,North America,0.02015939990623535,123.66789586641362,2.4930705683337013,0.07266760431317393
76,Guinea,2863,18,1525,1320,3/13/20,12414318.0,2011,0.3,Africa,0.0062871114215857496,230.62080413922055,1.4499386917589834,0.5326580509954593
77,Guinea-Bissau,1038,6,42,990,3/25/20,1874309.0,2009,1.0,Africa,0.005780346820809248,553.8040952692432,3.201179741440712,0.04046242774566474
78,Guyana,125,10,46,69,3/12/20,779004.0,2014,1.6,South America,0.08,160.46130700227468,12.836904560181976,0.368
79,Haiti,533,21,21,491,3/20/20,11123176.0,2013,0.7,North America,0.039399624765478425,47.91796875280944,1.8879499883846123,0.039399624765478425
81,Honduras,2955,147,349,2459,3/11/20,9587522.0,2014,0.7,North America,0.049746192893401014,308.21311283562113,15.332428963396382,0.11810490693739424
82,Hungary,3556,467,1412,1677,3/4/20,9775564.0,2013,7.0,Europe,0.1313273340832396,363.76417769859626,47.77217969213848,0.39707536557930256
83,Iceland,1802,10,1789,3,2/28/20,352721.0,2014,3.2,Europe,0.005549389567147614,5108.853739924756,28.351019644421513,0.9927857935627081
84,India,106475,3302,42309,60864,1/30/20,1352617328.0,2011,0.7,Asia,0.031011974641934725,78.71775541825677,2.4411930349009987,0.3973608828363466
85,Indonesia,18496,1221,4467,12808,3/2/20,267663435.0,2015,1.2,Asia,0.06601427335640138,69.10170602869233,4.561698911171786,0.24151167820069205
86,Iran,124603,7119,97173,20311,2/19/20,81800269.0,2014,1.5,Asia,0.057133455855798015,1523.2590494292874,87.02905365751303,0.7798608380215565
87,Iraq,3611,131,2366,1114,2/24/20,38433600.0,2014,1.4,Asia,0.0362780393242869,93.95424836601308,3.4084759169060406,0.6552201606203267
88,Ireland,24251,1561,19470,3220,2/29/20,4867309.0,2013,2.8,Europe,0.0643684796503237,4982.424579988655,320.71109518627236,0.8028534905777082
89,Israel,16659,278,13435,2946,2/21/20,8882800.0,2013,3.1,Asia,0.016687676331112313,1875.4221641824652,31.29643806007115,0.8064709766492587
90,Jamaica,520,9,145,366,3/11/20,2934855.0,2013,1.7,North America,0.01730769230769231,177.18081472508862,3.0665910240880723,0.27884615384615385
91,Japan,16367,768,11564,4035,1/22/20,126529100.0,2012,13.4,Asia,0.046923687908596565,129.35364275885942,6.069749962656812,0.7065436549153785
92,Jordan,649,9,417,223,3/3/20,9956011.0,2015,1.4,Asia,0.01386748844375963,65.18674999455104,0.9039765022356845,0.6425269645608629
93,Kazakhstan,6751,35,3598,3118,3/13/20,18272430.0,2013,6.7,Asia,0.005184417123389127,369.46372212125044,1.9154540474364932,0.5329580802844023
94,Kenya,963,50,358,555,3/13/20,51393010.0,2010,1.4,Africa,0.05192107995846314,18.73795677661223,0.9728949520567097,0.37175493250259606
95,"Korea, South",11110,263,10066,781,1/22/20,51606633.0,2015,11.5,Asia,0.02367236723672367,215.2824037173671,5.09624412040212,0.906030603060306
97,Kuwait,16764,121,4681,11962,2/24/20,4137309.0,2014,2.0,Asia,0.007217847769028871,4051.909103235944,29.246063081099333,0.2792293008828442
98,Kyrgyzstan,1243,14,898,331,3/18/20,6322800.0,2013,4.5,Asia,0.011263073209975865,196.59011830201808,2.2142088947934457,0.7224456958970233
99,Laos,19,0,14,5,3/24/20,7061507.0,2012,1.5,Asia,0.0,2.690643796005584,0.0,0.7368421052631579
100,Latvia,1012,21,694,297,3/2/20,1927174.0,2013,5.8,Europe,0.020750988142292492,525.1212397012413,10.896784618306391,0.6857707509881423
101,Lebanon,954,26,251,677,2/21/20,6848925.0,2014,2.9,Asia,0.027253668763102725,139.29193267556587,3.796216194512277,0.2631027253668763
103,Liberia,233,23,125,85,3/16/20,4818977.0,2010,0.8,Africa,0.09871244635193133,48.35051090719047,4.77279721401451,0.5364806866952789
104,Libya,68,3,35,30,3/24/20,6678567.0,2014,3.7,Africa,0.04411764705882353,10.181824933402629,0.4491981588265866,0.5147058823529411
106,Lithuania,1562,60,1025,477,2/28/20,2801543.0,2013,7.3,Europe,0.03841229193341869,557.5498930410848,21.41676925894052,0.6562099871959027
107,Luxembourg,3958,109,3718,131,2/29/20,607950.0,2015,4.8,Europe,0.027539161192521474,6510.403816103298,179.29106012007566,0.9393633148054573
109,Madagascar,326,2,119,205,3/20/20,26262368.0,2010,0.2,Africa,0.006134969325153374,12.413198992566093,0.07615459504641775,0.36503067484662577
110,Malawi,70,3,27,40,4/2/20,18143315.0,2011,1.3,Africa,0.04285714285714286,3.8581703508978373,0.1653501578956216,0.38571428571428573
111,Malaysia,6978,114,5646,1218,1/25/20,31528585.0,2015,1.9,Asia,0.01633705932932072,221.3229677132672,3.615766454472981,0.8091143594153053
112,Maldives,1143,4,91,1048,3/8/20,515696.0,2009,4.3,Asia,0.003499562554680665,2216.4220781235454,7.7565077099686635,0.07961504811898512
113,Mali,901,53,529,319,3/25/20,19077690.0,2010,0.1,Africa,0.058823529411764705,47.22794007031249,2.778114121783088,0.5871254162042175
114,Malta,569,6,460,103,3/7/20,484630.0,2014,4.7,Europe,0.01054481546572935,1174.0915750159916,12.380578998411158,0.8084358523725835
115,Mauritania,131,4,7,120,3/14/20,4403319.0,2006,0.4,Africa,0.030534351145038167,29.75028609101453,0.9084056821683826,0.05343511450381679
116,Mauritius,332,10,322,0,3/18/20,1265303.0,2011,3.4,Africa,0.030120481927710843,262.38774427943343,7.903245309621489,0.9698795180722891
117,Mexico,54346,5666,37325,11355,2/28/20,126190788.0,2015,1.5,North America,0.104257903065543,430.6653509446347,44.90026641247378,0.6868030765833733
118,Moldova,6340,221,2508,3611,3/8/20,2706049.0,2013,5.8,Europe,0.03485804416403786,2342.8991862305525,81.66888330551294,0.39558359621451106
119,Monaco,97,4,87,6,2/29/20,38682.0,2012,13.8,Europe,0.041237113402061855,2507.6262861279147,103.40726953104803,0.8969072164948454
120,Mongolia,140,0,26,114,3/10/20,3170208.0,2012,7.0,Asia,0.0,44.161140215405425,0.0,0.18571428571428572
121,Montenegro,324,9,312,3,3/17/20,622227.0,2012,4.0,Europe,0.027777777777777776,520.7102874031503,14.464174650087509,0.9629629629629629
